1,Cardiología,01/01/2020,21
2,Pediatría,01/01/2020,4
3,Ginecología,01/01/2020,3
4,Traumatología,01/01/2020,13
5,Psicología,01/01/2020,2
6,Dermatología,01/01/2020,6
7,Fonoaudiología,01/01/2020,12
8,Gastroenterología,01/01/2020,9
9,Medicina General,01/01/2020,7
10,Neurología,01/01/2020,23
11,Nefrología,01/01/2020,1
12,Neumología,01/01/2020,8
13,Odontología,01/01/2020,3
14,Oftalmología,01/01/2020,16
15,Otorrinolaringología,01/01/2020,8
1,Cardiología,02/01/2020,16
2,Pediatría,02/01/2020,29
3,Ginecología,02/01/2020,21
4,Traumatología,02/01/2020,18
5,Psicología,02/01/2020,18
6,Dermatología,02/01/2020,14
7,Fonoaudiología,02/01/2020,26
8,Gastroenterología,02/01/2020,21
9,Medicina General,02/01/2020,1
10,Neurología,02/01/2020,19
11,Nefrología,02/01/2020,20
12,Neumología,02/01/2020,30
13,Odontología,02/01/2020,12
14,Oftalmología,02/01/2020,30
15,Otorrinolaringología,02/01/2020,27
1,Cardiología,03/01/2020,20
2,Pediatría,03/01/2020,6
3,Ginecología,03/01/2020,25
4,Traumatología,03/01/2020,4
5,Psicología,03/01/2020,26
6,Dermatología,03/01/2020,2
7,Fonoaudiología,03/01/2020,30
8,Gastroenterología,03/01/2020,30
9,Medicina General,03/01/2020,16
10,Neurología,03/01/2020,18
11,Nefrología,03/01/2020,21
12,Neumología,03/01/2020,20
13,Odontología,03/01/2020,26
14,Oftalmología,03/01/2020,14
15,Otorrinolaringología,03/01/2020,7
1,Cardiología,04/01/2020,15
2,Pediatría,04/01/2020,29
3,Ginecología,04/01/2020,11
4,Traumatología,04/01/2020,11
5,Psicología,04/01/2020,16
6,Dermatología,04/01/2020,10
7,Fonoaudiología,04/01/2020,25
8,Gastroenterología,04/01/2020,6
9,Medicina General,04/01/2020,28
10,Neurología,04/01/2020,16
11,Nefrología,04/01/2020,11
12,Neumología,04/01/2020,22
13,Odontología,04/01/2020,30
14,Oftalmología,04/01/2020,18
15,Otorrinolaringología,04/01/2020,25
1,Cardiología,05/01/2020,6
2,Pediatría,05/01/2020,14
3,Ginecología,05/01/2020,17
4,Traumatología,05/01/2020,12
5,Psicología,05/01/2020,11
6,Dermatología,05/01/2020,0
7,Fonoaudiología,05/01/2020,25
8,Gastroenterología,05/01/2020,14
9,Medicina General,05/01/2020,26
10,Neurología,05/01/2020,16
11,Nefrología,05/01/2020,28
12,Neumología,05/01/2020,11
13,Odontología,05/01/2020,9
14,Oftalmología,05/01/2020,1
15,Otorrinolaringología,05/01/2020,10
1,Cardiología,06/01/2020,20
2,Pediatría,06/01/2020,4
3,Ginecología,06/01/2020,14
4,Traumatología,06/01/2020,0
5,Psicología,06/01/2020,29
6,Dermatología,06/01/2020,29
7,Fonoaudiología,06/01/2020,11
8,Gastroenterología,06/01/2020,10
9,Medicina General,06/01/2020,6
10,Neurología,06/01/2020,22
11,Nefrología,06/01/2020,7
12,Neumología,06/01/2020,11
13,Odontología,06/01/2020,19
14,Oftalmología,06/01/2020,1
15,Otorrinolaringología,06/01/2020,11
1,Cardiología,07/01/2020,5
2,Pediatría,07/01/2020,28
3,Ginecología,07/01/2020,16
4,Traumatología,07/01/2020,3
5,Psicología,07/01/2020,11
6,Dermatología,07/01/2020,2
7,Fonoaudiología,07/01/2020,17
8,Gastroenterología,07/01/2020,20
9,Medicina General,07/01/2020,3
10,Neurología,07/01/2020,4
11,Nefrología,07/01/2020,11
12,Neumología,07/01/2020,27
13,Odontología,07/01/2020,19
14,Oftalmología,07/01/2020,3
15,Otorrinolaringología,07/01/2020,15
1,Cardiología,08/01/2020,26
2,Pediatría,08/01/2020,2
3,Ginecología,08/01/2020,16
4,Traumatología,08/01/2020,24
5,Psicología,08/01/2020,18
6,Dermatología,08/01/2020,5
7,Fonoaudiología,08/01/2020,21
8,Gastroenterología,08/01/2020,15
9,Medicina General,08/01/2020,28
10,Neurología,08/01/2020,17
11,Nefrología,08/01/2020,23
12,Neumología,08/01/2020,3
13,Odontología,08/01/2020,20
14,Oftalmología,08/01/2020,2
15,Otorrinolaringología,08/01/2020,23
1,Cardiología,09/01/2020,4
2,Pediatría,09/01/2020,28
3,Ginecología,09/01/2020,22
4,Traumatología,09/01/2020,23
5,Psicología,09/01/2020,12
6,Dermatología,09/01/2020,3
7,Fonoaudiología,09/01/2020,21
8,Gastroenterología,09/01/2020,14
9,Medicina General,09/01/2020,17
10,Neurología,09/01/2020,27
11,Nefrología,09/01/2020,12
12,Neumología,09/01/2020,16
13,Odontología,09/01/2020,11
14,Oftalmología,09/01/2020,27
15,Otorrinolaringología,09/01/2020,21
1,Cardiología,10/01/2020,14
2,Pediatría,10/01/2020,11
3,Ginecología,10/01/2020,5
4,Traumatología,10/01/2020,15
5,Psicología,10/01/2020,24
