1,Cardiología,01/01/2022,16
2,Pediatría,01/01/2022,13
3,Ginecología,01/01/2022,5
4,Traumatología,01/01/2022,16
5,Psicología,01/01/2022,14
6,Dermatología,01/01/2022,25
7,Fonoaudiología,01/01/2022,12
8,Gastroenterología,01/01/2022,28
9,Medicina General,01/01/2022,17
10,Neurología,01/01/2022,13
11,Nefrología,01/01/2022,5
12,Neumología,01/01/2022,25
13,Odontología,01/01/2022,17
14,Oftalmología,01/01/2022,6
15,Otorrinolaringología,01/01/2022,17
1,Cardiología,02/01/2022,3
2,Pediatría,02/01/2022,22
3,Ginecología,02/01/2022,16
4,Traumatología,02/01/2022,27
5,Psicología,02/01/2022,6
6,Dermatología,02/01/2022,27
7,Fonoaudiología,02/01/2022,8
8,Gastroenterología,02/01/2022,16
9,Medicina General,02/01/2022,27
10,Neurología,02/01/2022,1
11,Nefrología,02/01/2022,17
12,Neumología,02/01/2022,8
13,Odontología,02/01/2022,5
14,Oftalmología,02/01/2022,9
15,Otorrinolaringología,02/01/2022,18
1,Cardiología,03/01/2022,20
2,Pediatría,03/01/2022,25
3,Ginecología,03/01/2022,28
4,Traumatología,03/01/2022,17
5,Psicología,03/01/2022,26
6,Dermatología,03/01/2022,26
7,Fonoaudiología,03/01/2022,22
8,Gastroenterología,03/01/2022,4
9,Medicina General,03/01/2022,10
10,Neurología,03/01/2022,22
11,Nefrología,03/01/2022,25
12,Neumología,03/01/2022,1
13,Odontología,03/01/2022,12
14,Oftalmología,03/01/2022,19
15,Otorrinolaringología,03/01/2022,3
1,Cardiología,04/01/2022,2
2,Pediatría,04/01/2022,29
3,Ginecología,04/01/2022,18
4,Traumatología,04/01/2022,13
5,Psicología,04/01/2022,2
6,Dermatología,04/01/2022,15
7,Fonoaudiología,04/01/2022,12
8,Gastroenterología,04/01/2022,24
9,Medicina General,04/01/2022,30
10,Neurología,04/01/2022,22
11,Nefrología,04/01/2022,8
12,Neumología,04/01/2022,12
13,Odontología,04/01/2022,15
14,Oftalmología,04/01/2022,27
15,Otorrinolaringología,04/01/2022,5
1,Cardiología,05/01/2022,9
2,Pediatría,05/01/2022,11
3,Ginecología,05/01/2022,1
4,Traumatología,05/01/2022,21
5,Psicología,05/01/2022,10
6,Dermatología,05/01/2022,10
7,Fonoaudiología,05/01/2022,17
8,Gastroenterología,05/01/2022,27
9,Medicina General,05/01/2022,22
10,Neurología,05/01/2022,29
11,Nefrología,05/01/2022,7
12,Neumología,05/01/2022,12
13,Odontología,05/01/2022,21
14,Oftalmología,05/01/2022,6
15,Otorrinolaringología,05/01/2022,10
1,Cardiología,06/01/2022,8
2,Pediatría,06/01/2022,26
3,Ginecología,06/01/2022,2
4,Traumatología,06/01/2022,16
5,Psicología,06/01/2022,8
6,Dermatología,06/01/2022,26
7,Fonoaudiología,06/01/2022,13
8,Gastroenterología,06/01/2022,16
9,Medicina General,06/01/2022,4
10,Neurología,06/01/2022,25
11,Nefrología,06/01/2022,12
12,Neumología,06/01/2022,22
13,Odontología,06/01/2022,27
14,Oftalmología,06/01/2022,23
15,Otorrinolaringología,06/01/2022,30
1,Cardiología,07/01/2022,26
2,Pediatría,07/01/2022,25
3,Ginecología,07/01/2022,30
4,Traumatología,07/01/2022,14
5,Psicología,07/01/2022,0
6,Dermatología,07/01/2022,5
7,Fonoaudiología,07/01/2022,17
8,Gastroenterología,07/01/2022,28
9,Medicina General,07/01/2022,4
10,Neurología,07/01/2022,25
11,Nefrología,07/01/2022,10
12,Neumología,07/01/2022,3
13,Odontología,07/01/2022,4
14,Oftalmología,07/01/2022,30
15,Otorrinolaringología,07/01/2022,16
1,Cardiología,08/01/2022,2
2,Pediatría,08/01/2022,30
3,Ginecología,08/01/2022,6
4,Traumatología,08/01/2022,11
5,Psicología,08/01/2022,3
6,Dermatología,08/01/2022,24
7,Fonoaudiología,08/01/2022,27
8,Gastroenterología,08/01/2022,12
9,Medicina General,08/01/2022,6
10,Neurología,08/01/2022,7
11,Nefrología,08/01/2022,27
12,Neumología,08/01/2022,20
13,Odontología,08/01/2022,0
14,Oftalmología,08/01/2022,19
15,Otorrinolaringología,08/01/2022,28
1,Cardiología,09/01/2022,16
2,Pediatría,09/01/2022,16
3,Ginecología,09/01/2022,15
4,Traumatología,09/01/2022,20
5,Psicología,09/01/2022,1
6,Dermatología,09/01/2022,29
7,Fonoaudiología,09/01/2022,0
8,Gastroenterología,09/01/2022,11
9,Medicina General,09/01/2022,11
10,Neurología,09/01/2022,18
11,Nefrología,09/01/2022,25
12,Neumología,09/01/2022,16
13,Odontología,09/01/2022,5
14,Oftalmología,09/01/2022,23
15,Otorrinolaringología,09/01/2022,22
1,Cardiología,10/01/2022,2
2,Pediatría,10/01/2022,19
3,Ginecología,10/01/2022,10
4,Traumatología,10/01/2022,9
5,Psicología,10/01/2022,11
6,Dermatología,10/01/2022,5
7,Fonoaudiología,10/01/2022,11
8,Gastroenterología,10/01/2022,19
9,Medicina General,10/01/2022,11
10,Neurología,10/01/2022,6
11,Nefrología,10/01/2022,7
12,Neumología,10/01/2022,18
13,Odontología,10/01/2022,26
14,Oftalmología,10/01/2022,6
15,Otorrinolaringología,10/01/2022,29
1,Cardiología,11/01/2022,16
2,Pediatría,11/01/2022,9
3,Ginecología,11/01/2022,24
4,Traumatología,11/01/2022,23
5,Psicología,11/01/2022,16
6,Dermatología,11/01/2022,13
7,Fonoaudiología,11/01/2022,0
8,Gastroenterología,11/01/2022,14
9,Medicina General,11/01/2022,7
10,Neurología,11/01/2022,6
11,Nefrología,11/01/2022,9
12,Neumología,11/01/2022,30
13,Odontología,11/01/2022,13
14,Oftalmología,11/01/2022,3
15,Otorrinolaringología,11/01/2022,21
1,Cardiología,12/01/2022,22
2,Pediatría,12/01/2022,12
3,Ginecología,12/01/2022,16
4,Traumatología,12/01/2022,30
5,Psicología,12/01/2022,3
6,Dermatología,12/01/2022,25
7,Fonoaudiología,12/01/2022,25
8,Gastroenterología,12/01/2022,10
9,Medicina General,12/01/2022,12
10,Neurología,12/01/2022,7
11,Nefrología,12/01/2022,12
12,Neumología,12/01/2022,6
13,Odontología,12/01/2022,16
14,Oftalmología,12/01/2022,11
